date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:01	20/20	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Jul%202025%2016:52:57%20GMT	https://ego-alisa-nails-tmpl.webflow.io/robots.txt		(from )
20:27:02	83052/83052	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:27:02%20GMT	https://ego-alisa-nails-tmpl.webflow.io/	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/index.html	(from )
20:27:03	114828/114828	---M-Z	200	added ('OK')	text/css	etag:%220b0140174e516e4c93654c914dff6f57%22	https://cdn.prod.website-files.com/6793b7e3ceb824cdb03a1dbb/css/ego-alisa-nails-tmpl.webflow.dfbdfc1bb.css	F:/My%20Web%20Sites/Nails/cdn.prod.website-files.com/6793b7e3ceb824cdb03a1dbb/css/ego-alisa-nails-tmpl.webflow.dfbdfc1bb.css	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:03	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	F:/My%20Web%20Sites/Nails/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:03	6113/6113	---M--	200	added ('OK')	image/png	etag:%22e7d3cf99718cd4e4278788dd6b444029%22	https://cdn.prod.website-files.com/6793b7e3ceb824cdb03a1dbb/6793b7e3ceb824cdb03a1e04_Avatar%402x.png	F:/My%20Web%20Sites/Nails/cdn.prod.website-files.com/6793b7e3ceb824cdb03a1dbb/6793b7e3ceb824cdb03a1e04_Avatar@2x.png	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:04	68315/68315	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2000:51:16%20GMT	https://ego-alisa-nails-tmpl.webflow.io/services/correction	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/services/correction.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:05	68171/68171	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:27:04%20GMT	https://ego-alisa-nails-tmpl.webflow.io/services/nail-care	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/services/nail-care.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:05	838671/838671	---M--	200	added ('OK')	image/png	etag:%22388a52cc48fa359c42cee51c97df699b%22	https://cdn.prod.website-files.com/6793b7e3ceb824cdb03a1df5/679cdc8711a7c0da683203b6_nail-decoration-5.png	F:/My%20Web%20Sites/Nails/cdn.prod.website-files.com/6793b7e3ceb824cdb03a1df5/679cdc8711a7c0da683203b6_nail-decoration-5.png	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:05	69279/69279	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2005:13:57%20GMT	https://ego-alisa-nails-tmpl.webflow.io/services/nail-art	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/services/nail-art.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:05	43235/43235	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2016:52:57%20GMT	https://ego-alisa-nails-tmpl.webflow.io/privacy-policy	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/privacy-policy.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:06	74223/74223	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:27:06%20GMT	https://ego-alisa-nails-tmpl.webflow.io/styleguide/get-started	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/styleguide/get-started.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:07	39274/39274	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:27:06%20GMT	https://ego-alisa-nails-tmpl.webflow.io/styleguide/changelog	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/styleguide/changelog.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:08	125854/125854	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:27:08%20GMT	https://ego-alisa-nails-tmpl.webflow.io/styleguide/style-guide	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/styleguide/style-guide.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:09	49668/49668	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:27:08%20GMT	https://ego-alisa-nails-tmpl.webflow.io/styleguide/licenses	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/styleguide/licenses.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:09	55036/55036	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:24:54%20GMT	https://ego-alisa-nails-tmpl.webflow.io/styleguide/animations	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/styleguide/animations.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:10	65443/65443	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2000:27:09%20GMT	https://ego-alisa-nails-tmpl.webflow.io/styleguide/marketing-utilities	F:/My%20Web%20Sites/Nails/ego-alisa-nails-tmpl.webflow.io/styleguide/marketing-utilities.html	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:10	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6793b7e3ceb824cdb03a1dbb	F:/My%20Web%20Sites/Nails/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8479e.js	(from https://ego-alisa-nails-tmpl.webflow.io/)
20:27:10	286442/286442	---MCZ	200	added ('OK')	text/javascript	etag:W/%220bbb561c05a20b5dcda6d1dd6d997a01%22	https://cdn.prod.website-files.com/6793b7e3ceb824cdb03a1dbb/js/webflow.31bb1ce6.5ae4faa9fb15e4fb.js	F:/My%20Web%20Sites/Nails/cdn.prod.website-files.com/6793b7e3ceb824cdb03a1dbb/js/webflow.31bb1ce6.5ae4faa9fb15e4fb.js	(from https://ego-alisa-nails-tmpl.webflow.io/)
